# Projected PCA examples
-0.2531697915111896 -0.4475568754375417 -0.3027263849844187
0.5072512857629695 0.5655319152538508 -0.10811062533710257
-1.0109002744563393 0.5605128933782785 0.3185513926264993
0.9180310098147243 0.6991119751459063 -0.4171188446449795
0.1756270580634363 -0.21809177022412787 0.18347525532676592
0.4795405043416601 -0.2608802419944088 0.31150406010225934
0.7803521649000061 -0.21580616632736685 0.45839930074865537
-1.1438483293655621 0.48727204512341477 0.02291415831435032
0.7234809652391637 0.5528738476515732 -0.1684356734228141
-0.31393516788273396 -0.4083184608235114 -0.07003831669603214
-0.6910627506736948 -0.5549191703171497 -0.36586124734286113
-0.6133610184513526 -0.3875884419715613 -0.294720692348368
-0.3590611392232355 -0.4862446483740437 -0.2909184963688656
0.7600245492073627 0.6202811730850643 -0.49640309206145394
-0.9859848533389365 0.5706320370143506 0.2738385534984808
0.6955318496704421 0.5783874455104804 -0.09915234662428021
0.7301279668868323 -0.23915083850439306 0.3397126849297604
-0.5595545198643531 0.1535501284539129 -0.10970068244008668
-0.19126353885473932 -0.49743933417836184 -0.3391794068899029
-0.042671585159044005 -0.4317926639068425 -0.17962938734814302
0.12452233141042132 -0.41486028674683806 -0.0024682784213055555
0.3594776194451493 -0.24534465849015527 0.6250706276060036
0.7410083335316209 -0.2612640010718731 0.3285914924045221
0.09729152069061062 -0.41540751456060276 -0.22893737869605682
-0.21121472736674998 0.01308406917486529 -0.4889144560121166
0.5623222014653855 -0.2533682109017828 0.37323398910793193
0.15175425823974226 -0.32943254125803645 0.47277656855416245
0.49408595103600206 0.47394580648737666 -0.3303679552173583
-0.5961934617188954 -0.46930882878601515 -0.2701556142799871
0.9217934438002108 0.6489405803269762 -0.22191799155742645
-0.8029695256400821 -0.5247141689803017 -0.3734667260908164
1.1783082362075783 0.5560693277294773 -0.20380994125816335
-1.111087284953583 0.5841512759627011 0.18612146267039817
0.07638467331671646 -0.4295146024737035 -0.168959064617001
0.40906656309503253 0.11924979432565311 0.04693322091974594
-1.1444505048109008 0.49371174314541627 0.17720684235854878
0.39632212527275956 -0.313945059868317 0.4093615291540914
-1.2214968209902746 0.4489192432185773 0.14504785112839239
-1.0851148547526486 0.5390267576105828 0.3760364072072332
0.4958990814278131 -0.3283092949162165 0.1062049348754251
0.4903151560586554 -0.2936538918907226 0.21899488543620288
0.15793763320361534 0.19201263245721245 0.25452654261595903
-0.08911633307359475 -0.4303530190517952 -0.09750915692584596
pause -1
