# Projected PCA examples
-0.2531697915111896 -0.4475568754375417 -0.025060412790697685
0.5072512857629695 0.5655319152538508 -0.05837707945736435
-1.0109002744563393 0.5605128933782785 -0.058385412790697686
0.9180310098147243 0.6991119751459063 0.941606253875969
0.1756270580634363 -0.21809177022412787 0.14993958720930234
0.4795405043416601 -0.2608802419944088 -0.058385412790697686
0.7803521649000061 -0.21580616632736685 -0.056310412790697685
-1.1438483293655621 0.48727204512341477 -0.058392079457364354
0.7234809652391637 0.5528738476515732 -0.05831041279069769
-0.31393516788273396 -0.4083184608235114 -0.05839366279069769
-0.6910627506736948 -0.5549191703171497 -0.05806041279069769
-0.6133610184513526 -0.3875884419715613 -0.04589374612403102
-0.3590611392232355 -0.4862446483740437 -0.056727079457364354
0.7600245492073627 0.6202811730850643 0.5249395872093023
-0.9859848533389365 0.5706320370143506 -0.058391246124031015
0.6955318496704421 0.5783874455104804 -0.05764374612403102
0.7301279668868323 -0.23915083850439306 -0.05772707945736435
-0.5595545198643531 0.1535501284539129 -0.05797707945736435
-0.19126353885473932 -0.49743933417836184 -0.05422707945736435
-0.042671585159044005 -0.4317926639068425 -0.058385412790697686
0.12452233141042132 -0.41486028674683806 -0.05836041279069768
0.3594776194451493 -0.24534465849015527 -0.058392912790697686
0.7410083335316209 -0.2612640010718731 -0.05422707945736435
0.09729152069061062 -0.41540751456060276 -0.05797707945736435
-0.21121472736674998 0.01308406917486529 -0.056727079457364354
0.5623222014653855 -0.2533682109017828 -0.058392912790697686
0.15175425823974226 -0.32943254125803645 -0.025060412790697685
0.49408595103600206 0.47394580648737666 -0.057560412790697686
-0.5961934617188954 -0.46930882878601515 -0.05339374612403102
0.9217934438002108 0.6489405803269762 0.35827292054263565
-0.8029695256400821 -0.5247141689803017 -0.056727079457364354
1.1783082362075783 0.5560693277294773 -0.05797707945736435
-1.111087284953583 0.5841512759627011 -0.05827707945736435
0.07638467331671646 -0.4295146024737035 -0.057560412790697686
0.40906656309503253 0.11924979432565311 -0.057560412790697686
-1.1444505048109008 0.49371174314541627 -0.05839357945736435
0.39632212527275956 -0.313945059868317 -0.02089374612403102
-1.2214968209902746 0.4489192432185773 -0.05726874612403102
-1.0851148547526486 0.5390267576105828 -0.058385412790697686
0.4958990814278131 -0.3283092949162165 -0.05837707945736435
0.4903151560586554 -0.2936538918907226 0.02493958720930231
0.15793763320361534 0.19201263245721245 0.01660625387596898
-0.08911633307359475 -0.4303530190517952 -0.05814374612403102
