# Projected PCA examples
-0.32042052410501093 0.34305236236877573 0.1321118509112393
0.4084243026127039 -0.14783383924881194 -0.1700529861293363
-0.7476739053321145 -0.4089795478089805 0.2871146478313921
0.8468730047428406 0.18527235143338242 0.29632385277484224
0.17374943403141735 -0.25018681097098183 0.4114212392960525
0.5069357044713013 -0.1695052136790851 0.06100901448682415
0.8397625449361171 -0.24136514974093784 -0.008724079997831723
-0.21906494657826348 0.4615755509004209 -0.030779564010805234
-0.9100225716974991 -0.06711632453298122 0.09292478092845835
0.6395891200026168 0.012710624356377077 -0.10712078593230973
-0.3726309746900596 0.06981470772746726 -0.1783764270887829
-0.8057014416267124 0.36432102091773855 -0.329719866375679
-0.7104859866747528 0.12957682275571406 0.1785176266829463
-0.4401954051059739 0.3497196162162687 -0.16668023549323813
0.6681298690181293 0.27307652524774595 0.30982106433797874
-0.7211872064485852 -0.2957342595643102 0.0197023663852856
0.6143616808268023 -0.09599866746043367 -0.08227288450201947
0.7805169704804664 -0.10249569803368969 0.015336055824294982
-0.6904645573997916 -0.4624736155066629 0.5994031199085348
-0.26088396377111656 0.4575857827105185 -0.037343371871753454
-0.08722986842639126 0.2817907616518675 0.10671506387431393
0.1017116061128062 0.1880608389824817 -0.20498377239029109
0.3952753896337313 -0.5249682759005975 -0.35143906526315094
0.7907890984989978 -0.06328217867023493 -0.06429057203775451
0.061449199097465365 0.38397410836650625 0.19711807789794986
-0.3393710705112453 0.24724267661386323 0.4055057516670058
0.6005701018352965 -0.21170182696729511 0.061742690395672026
0.15777455221426823 -0.35559449992261893 -0.541128469851915
0.3819660833048693 0.14590295641838297 -0.052208967537464374
-0.6939244637971729 0.20697629345571644 -0.09084064008029576
0.857570277371698 0.028422215816440485 0.2304353038734682
-0.9263002119972827 0.2967254747619224 -0.2819883409315203
1.1314266283862657 0.2234157647457365 0.05652028895274143
-0.8082988159558595 -0.24555078912408082 0.3486118100079105
0.03926246446182532 0.3380166284997967 -0.10325822359896483
0.3620398489574075 -0.09893467293810561 -0.10538862707769533
-0.9026834052954438 -0.22251566362429134 0.0036746355875418163
0.42069325430982485 -0.20762355074426112 -0.42154010537508313
-0.9927935669243634 -0.16499157060505504 -0.26458818609600127
-0.827157649290329 -0.41774436956031924 -0.23118869920768415
0.512240498919042 0.13614278607435418 -0.08005524524785741
0.5147429383421399 -0.029496937467403072 0.013484243442724102
0.10522598898279073 -0.5269836178380878 0.08733805211072247
-0.13459002592285366 0.18770120988774136 -0.010862421080466648
